Team,Matches
114,2024idbo_qm11,2024idbo_qm22,2024idbo_qm28,2024idbo_qm34,2024idbo_qm39,2024idbo_qm45,2024idbo_qm5,2024idbo_qm57,2024idbo_qm63,2024idbo_qm68,2024idbo_qm77
1566,2024idbo_qm13,2024idbo_qm22,2024idbo_qm27,2024idbo_qm35,2024idbo_qm40,2024idbo_qm47,2024idbo_qm56,2024idbo_qm64,2024idbo_qm69,2024idbo_qm74,2024idbo_qm8
1569,2024idbo_qm1,2024idbo_qm20,2024idbo_qm29,2024idbo_qm35,2024idbo_qm42,2024idbo_qm50,2024idbo_qm57,2024idbo_qm65,2024idbo_qm71,2024idbo_qm76,2024idbo_qm8
1891,2024idbo_qm11,2024idbo_qm17,2024idbo_qm2,2024idbo_qm23,2024idbo_qm32,2024idbo_qm37,2024idbo_qm44,2024idbo_qm51,2024idbo_qm59,2024idbo_qm65,2024idbo_qm75
192,2024idbo_qm12,2024idbo_qm18,2024idbo_qm27,2024idbo_qm34,2024idbo_qm43,2024idbo_qm5,2024idbo_qm50,2024idbo_qm55,2024idbo_qm61,2024idbo_qm67,2024idbo_qm72
2122,2024idbo_qm10,2024idbo_qm20,2024idbo_qm27,2024idbo_qm32,2024idbo_qm37,2024idbo_qm4,2024idbo_qm46,2024idbo_qm52,2024idbo_qm63,2024idbo_qm69,2024idbo_qm74
2130,2024idbo_qm11,2024idbo_qm16,2024idbo_qm2,2024idbo_qm28,2024idbo_qm35,2024idbo_qm43,2024idbo_qm48,2024idbo_qm54,2024idbo_qm60,2024idbo_qm66,2024idbo_qm72
2288,2024idbo_qm17,2024idbo_qm23,2024idbo_qm3,2024idbo_qm31,2024idbo_qm39,2024idbo_qm47,2024idbo_qm52,2024idbo_qm64,2024idbo_qm72,2024idbo_qm77,2024idbo_qm8
2584,2024idbo_qm12,2024idbo_qm17,2024idbo_qm26,2024idbo_qm3,2024idbo_qm31,2024idbo_qm40,2024idbo_qm45,2024idbo_qm58,2024idbo_qm63,2024idbo_qm71,2024idbo_qm79
2594,2024idbo_qm1,2024idbo_qm12,2024idbo_qm18,2024idbo_qm23,2024idbo_qm30,2024idbo_qm36,2024idbo_qm46,2024idbo_qm53,2024idbo_qm60,2024idbo_qm65,2024idbo_qm77
2813,2024idbo_qm13,2024idbo_qm18,2024idbo_qm23,2024idbo_qm31,2024idbo_qm42,2024idbo_qm49,2024idbo_qm54,2024idbo_qm61,2024idbo_qm69,2024idbo_qm7,2024idbo_qm79
3166,2024idbo_qm15,2024idbo_qm21,2024idbo_qm26,2024idbo_qm35,2024idbo_qm43,2024idbo_qm49,2024idbo_qm57,2024idbo_qm6,2024idbo_qm65,2024idbo_qm70,2024idbo_qm75
3245,2024idbo_qm17,2024idbo_qm24,2024idbo_qm3,2024idbo_qm36,2024idbo_qm43,2024idbo_qm48,2024idbo_qm57,2024idbo_qm62,2024idbo_qm69,2024idbo_qm78,2024idbo_qm9
3288,2024idbo_qm11,2024idbo_qm18,2024idbo_qm26,2024idbo_qm33,2024idbo_qm4,2024idbo_qm42,2024idbo_qm48,2024idbo_qm53,2024idbo_qm64,2024idbo_qm71,2024idbo_qm78
3405,2024idbo_qm1,2024idbo_qm16,2024idbo_qm29,2024idbo_qm34,2024idbo_qm40,2024idbo_qm47,2024idbo_qm53,2024idbo_qm61,2024idbo_qm66,2024idbo_qm74,2024idbo_qm79,2024idbo_qm9
3669,2024idbo_qm13,2024idbo_qm20,2024idbo_qm25,2024idbo_qm31,2024idbo_qm38,2024idbo_qm45,2024idbo_qm53,2024idbo_qm59,2024idbo_qm6,2024idbo_qm72,2024idbo_qm78
399,2024idbo_qm15,2024idbo_qm21,2024idbo_qm28,2024idbo_qm34,2024idbo_qm39,2024idbo_qm44,2024idbo_qm53,2024idbo_qm58,2024idbo_qm67,2024idbo_qm7,2024idbo_qm74
